County,State,Population
Hopkins,Kentucky,44686
Jackson,Kentucky,13329
Jefferson,Kentucky,766757
Jessamine,Kentucky,54115
Johnson,Kentucky,22188
Kenton,Kentucky,166998
Knott,Kentucky,14806
Knox,Kentucky,31145
LaRue,Kentucky,14398
Laurel,Kentucky,60813
Lawrence,Kentucky,15317
Lee,Kentucky,7403
Leslie,Kentucky,9877
Letcher,Kentucky,21553
Lewis,Kentucky,13275
Lincoln,Kentucky,24549
Livingston,Kentucky,9194
Logan,Kentucky,27102
Lyon,Kentucky,8210
McCracken,Kentucky,65418
McCreary,Kentucky,17231
McLean,Kentucky,9207
Madison,Kentucky,92987
Magoffin,Kentucky,12161
Marion,Kentucky,19273
Marshall,Kentucky,31100
Martin,Kentucky,11195
Mason,Kentucky,17070
Meade,Kentucky,28572
Menifee,Kentucky,6489
Mercer,Kentucky,21933
Metcalfe,Kentucky,10071
Monroe,Kentucky,10650
Montgomery,Kentucky,28157
Morgan,Kentucky,13309
Muhlenberg,Kentucky,30622
Nelson,Kentucky,46233
Nicholas,Kentucky,7269
Ohio,Kentucky,23994
Oldham,Kentucky,66799
Owen,Kentucky,10901
Owsley,Kentucky,4415
Pendleton,Kentucky,14590
Perry,Kentucky,25758
Pike,Kentucky,57876
Powell,Kentucky,12359
Pulaski,Kentucky,64979
Robertson,Kentucky,2108
Rockcastle,Kentucky,16695
Rowan,Kentucky,24460
Russell,Kentucky,17923
Scott,Kentucky,57004
Shelby,Kentucky,49024
Simpson,Kentucky,18572
Spencer,Kentucky,19351
Taylor,Kentucky,25769
Todd,Kentucky,12294
Trigg,Kentucky,14651
Trimble,Kentucky,8471
Union,Kentucky,14381
Warren,Kentucky,132896
Washington,Kentucky,12095
Wayne,Kentucky,20333
Webster,Kentucky,12942
Whitley,Kentucky,36264
Wolfe,Kentucky,7157
Woodford,Kentucky,26734
Acadia Parish,Louisiana,62045
Allen Parish,Louisiana,25627
Ascension Parish,Louisiana,126604
Assumption Parish,Louisiana,21891
Avoyelles Parish,Louisiana,40144
Beauregard Parish,Louisiana,37497
Bienville Parish,Louisiana,13241
Bossier Parish,Louisiana,127039
Caddo Parish,Louisiana,240204
Calcasieu Parish,Louisiana,203436
Caldwell Parish,Louisiana,9918
Cameron Parish,Louisiana,6973
Catahoula Parish,Louisiana,9494
Claiborne Parish,Louisiana,15670
Concordia Parish,Louisiana,19259
De Soto Parish,Louisiana,27463
East Baton Rouge Parish,Louisiana,440059
East Carroll Parish,Louisiana,6861
East Feliciana Parish,Louisiana,19135
Evangeline Parish,Louisiana,33395
Franklin Parish,Louisiana,20015
Grant Parish,Louisiana,22389
Iberia Parish,Louisiana,69830
Iberville Parish,Louisiana,32511
Jackson Parish,Louisiana,15744
Jefferson Parish,Louisiana,432493
Jefferson Davis Parish,Louisiana,31368
Lafayette Parish,Louisiana,244390
Lafourche Parish,Louisiana,97614
LaSalle Parish,Louisiana,14892
Lincoln Parish,Louisiana,46742
Livingston Parish,Louisiana,140789
Madison Parish,Louisiana,10951
Morehouse Parish,Louisiana,24874
Natchitoches Parish,Louisiana,38158
Orleans Parish[q],Louisiana,390144
Ouachita Parish,Louisiana,153279
Plaquemines Parish,Louisiana,23197
Pointe Coupee Parish,Louisiana,21730
Rapides Parish,Louisiana,129648
Red River Parish,Louisiana,8442
Richland Parish,Louisiana,20122
Sabine Parish,Louisiana,23884
St. Bernard Parish,Louisiana,47244
St. Charles Parish,Louisiana,53100
St. Helena Parish,Louisiana,10132
St. James Parish,Louisiana,21096
St. John the Baptist Parish,Louisiana,42837
St. Landry Parish,Louisiana,82124
St. Martin Parish,Louisiana,53431
St. Mary Parish,Louisiana,49348
St. Tammany Parish,Louisiana,260419
Tangipahoa Parish,Louisiana,134758
Tensas Parish,Louisiana,4334
Terrebonne Parish,Louisiana,110461
Union Parish,Louisiana,22108
Vermilion Parish,Louisiana,59511
Vernon Parish,Louisiana,47429
Washington Parish,Louisiana,46194
Webster Parish,Louisiana,38340
West Baton Rouge Parish,Louisiana,26465
West Carroll Parish,Louisiana,10830
West Feliciana Parish,Louisiana,15568
Winn Parish,Louisiana,13904
Androscoggin,Maine,108277
Aroostook,Maine,67055
Cumberland,Maine,295003
Franklin,Maine,30199
Hancock,Maine,54987
Kennebec,Maine,122302
Knox,Maine,39772
Lincoln,Maine,34634
Oxford,Maine,57975
Penobscot,Maine,152148
Piscataquis,Maine,16785
Sagadahoc,Maine,35856
Somerset,Maine,50484
Waldo,Maine,39715
Washington,Maine,31379
York,Maine,207641
Allegany,Maryland,70416
Anne Arundel,Maryland,579234
Baltimore,Maryland,827370
Calvert,Maryland,92525
Caroline,Maryland,33406
Carroll,Maryland,168447
Cecil,Maryland,102855
Charles,Maryland,163257
Dorchester,Maryland,31929
Frederick,Maryland,259547
Garrett,Maryland,29014
Harford,Maryland,255441
Howard,Maryland,325690
Kent,Maryland,19422
Montgomery,Maryland,1050688
Prince George's,Maryland,909327
Queen Anne's,Maryland,50381
St. Mary's,Maryland,113510
Somerset,Maryland,25616
Talbot,Maryland,37181
Washington,Maryland,151049
Wicomico,Maryland,103609
Worcester,Maryland,52276
Baltimore City[r],Maryland,593490
Barnstable,Massachusetts,212990
Berkshire[n],Massachusetts,124944
Bristol,Massachusetts,565217
Dukes,Massachusetts,17332
Essex[n],Massachusetts,789034
Franklin[n],Massachusetts,70180
Hampden[n],Massachusetts,466372
Hampshire[n],Massachusetts,160830
Middlesex[n],Massachusetts,1611699
"Nantucket, Town and County of[s]",Massachusetts,11399
Norfolk,Massachusetts,706775
Plymouth,Massachusetts,521202
Suffolk[n],Massachusetts,803907
Worcester[n],Massachusetts,830622
Alcona,Michigan,10405
Alger,Michigan,9108
Allegan,Michigan,118081
Alpena,Michigan,28405
Antrim,Michigan,23324
Arenac,Michigan,14883
Baraga,Michigan,8209
Barry,Michigan,61550
Bay,Michigan,103126
Benzie,Michigan,17766
Berrien,Michigan,153401
Branch,Michigan,43517
Calhoun,Michigan,134159
Cass,Michigan,51787
Charlevoix,Michigan,26143
Cheboygan,Michigan,25276
Chippewa,Michigan,37349
Clare,Michigan,30950
Clinton,Michigan,79595
Crawford,Michigan,14029
Delta,Michigan,35784
Dickinson,Michigan,25239
Eaton,Michigan,110268
Emmet,Michigan,33415
Genesee,Michigan,405813
Gladwin,Michigan,25449
Gogebic,Michigan,13975
Grand Traverse,Michigan,93088
Gratiot,Michigan,40711
Hillsdale,Michigan,45605
Houghton,Michigan,35684
Huron,Michigan,30981
Ingham,Michigan,292406
Ionia,Michigan,64697
Iosco,Michigan,25127
Iron,Michigan,11066
Isabella,Michigan,69872
Jackson,Michigan,158510
Kalamazoo,Michigan,265066
Kalkaska,Michigan,18038
Kent,Michigan,656955
Keweenaw,Michigan,2116
Lake,Michigan,11853
Lapeer,Michigan,87607
Leelanau,Michigan,21761
Lenawee,Michigan,98451
Livingston,Michigan,191995
Luce,Michigan,6229
Mackinac,Michigan,10799
Macomb,Michigan,873972
Manistee,Michigan,24558
Marquette,Michigan,66699
Mason,Michigan,29144
Mecosta,Michigan,43453
Menominee,Michigan,22780
Midland,Michigan,83156
Missaukee,Michigan,15118
Monroe,Michigan,150500
Montcalm,Michigan,63888
Montmorency,Michigan,9328
Muskegon,Michigan,173566
Newaygo,Michigan,48980
Oakland,Michigan,1257584
Oceana,Michigan,26467
Ogemaw,Michigan,20997
Ontonagon,Michigan,5720
Osceola,Michigan,23460
Oscoda,Michigan,8241
Otsego,Michigan,24668
Ottawa,Michigan,291830
Presque Isle,Michigan,12592
Roscommon,Michigan,24019
Saginaw,Michigan,190539
St. Clair,Michigan,159128
St. Joseph,Michigan,60964
Sanilac,Michigan,41170
Schoolcraft,Michigan,8094
Shiawassee,Michigan,68122
Tuscola,Michigan,52245
Van Buren,Michigan,75677
Washtenaw,Michigan,367601
Wayne,Michigan,1749343
Wexford,Michigan,33631
Aitkin,Minnesota,15886
Anoka,Minnesota,356921
Becker,Minnesota,34423
Beltrami,Minnesota,47188
Benton,Minnesota,40889
Big Stone,Minnesota,4991
Blue Earth,Minnesota,67653
Brown,Minnesota,25008
Carlton,Minnesota,35871
Carver,Minnesota,105089
Cass,Minnesota,29779
Chippewa,Minnesota,11800
Chisago,Minnesota,56579
Clay,Minnesota,64222
Clearwater,Minnesota,8818
Cook,Minnesota,5463
Cottonwood,Minnesota,11196
Crow Wing,Minnesota,65055
Dakota,Minnesota,429021
Dodge,Minnesota,20934
Douglas,Minnesota,38141
Faribault,Minnesota,13653
Fillmore,Minnesota,21067
Freeborn,Minnesota,30281
Goodhue,Minnesota,46340
Grant,Minnesota,5972
Hennepin,Minnesota,1265843
Houston,Minnesota,18600
Hubbard,Minnesota,21491
Isanti,Minnesota,40596
Itasca,Minnesota,45130
Jackson,Minnesota,9846
Kanabec,Minnesota,16337
Kandiyohi,Minnesota,43199
Kittson,Minnesota,4298
Koochiching,Minnesota,12229
Lac qui Parle,Minnesota,6623
Lake,Minnesota,10641
Lake of the Woods,Minnesota,3740
Le Sueur,Minnesota,28887
Lincoln,Minnesota,5639
Lyon,Minnesota,25474
McLeod,Minnesota,35893
Mahnomen,Minnesota,5527
Marshall,Minnesota,9336
Martin,Minnesota,19683
Meeker,Minnesota,23222
Mille Lacs,Minnesota,26277
Morrison,Minnesota,33386
Mower,Minnesota,40062
Murray,Minnesota,8194
Nicollet,Minnesota,34274
Nobles,Minnesota,21629
Norman,Minnesota,6375
Olmsted,Minnesota,158293
Otter Tail,Minnesota,58746
Pennington,Minnesota,14119
Pine,Minnesota,29579
Pipestone,Minnesota,9126
Polk,Minnesota,31364
Pope,Minnesota,11249
Ramsey,Minnesota,550321
Red Lake,Minnesota,4055
Redwood,Minnesota,15170
Renville,Minnesota,14548
Rice,Minnesota,66972
Rock,Minnesota,9315
Roseau,Minnesota,15165
St. Louis,Minnesota,199070
Scott,Minnesota,149013
Sherburne,Minnesota,97238
Sibley,Minnesota,14865
Stearns,Minnesota,161075
Steele,Minnesota,36649
Stevens,Minnesota,9805
Swift,Minnesota,9266
Todd,Minnesota,24664
Traverse,Minnesota,3259
Wabasha,Minnesota,21627
Wadena,Minnesota,13682
Waseca,Minnesota,18612
Washington,Minnesota,262440
Watonwan,Minnesota,10897
Wilkin,Minnesota,6207
Winona,Minnesota,50484
Wright,Minnesota,138377
Yellow Medicine,Minnesota,9709
Adams,Mississippi,30693
Alcorn,Mississippi,36953
Amite,Mississippi,12297
Attala,Mississippi,18174
Benton,Mississippi,8259
Bolivar,Mississippi,30628
Calhoun,Mississippi,14361
Carroll,Mississippi,9947
Chickasaw,Mississippi,17103
Choctaw,Mississippi,8210
Claiborne,Mississippi,8988
Clarke,Mississippi,15541
Clay,Mississippi,19316
Coahoma,Mississippi,22124
Copiah,Mississippi,28065
Covington,Mississippi,18636
DeSoto,Mississippi,184945
Forrest,Mississippi,74897
Franklin,Mississippi,7713
George,Mississippi,24500
Greene,Mississippi,13586
Grenada,Mississippi,20758
Hancock,Mississippi,47632
Harrison,Mississippi,208080
Hinds,Mississippi,231840
Holmes,Mississippi,17010
Humphreys,Mississippi,8064
Issaquena,Mississippi,1327
Itawamba,Mississippi,23390
Jackson,Mississippi,143617
Jasper,Mississippi,16383
Jefferson,Mississippi,6990
Jefferson Davis,Mississippi,11128
Jones,Mississippi,68098
Kemper,Mississippi,9742
Lafayette,Mississippi,54019
Lamar,Mississippi,63343
Lauderdale,Mississippi,74125
Lawrence,Mississippi,12586
Leake,Mississippi,22786
Lee,Mississippi,85436
Leflore,Mississippi,28183
Lincoln,Mississippi,34153
Lowndes,Mississippi,58595
Madison,Mississippi,106272
Marion,Mississippi,24573
Marshall,Mississippi,35294
Monroe,Mississippi,35252
Montgomery,Mississippi,9775
Neshoba,Mississippi,29118
Newton,Mississippi,21018
Noxubee,Mississippi,10417
Oktibbeha,Mississippi,49587
Panola,Mississippi,34192
Pearl River,Mississippi,55535
Perry,Mississippi,11973
Pike,Mississippi,39288
Pontotoc,Mississippi,32174
Prentiss,Mississippi,25126
Quitman,Mississippi,6792
Rankin,Mississippi,155271
Scott,Mississippi,28124
Sharkey,Mississippi,4321
Simpson,Mississippi,26658
Smith,Mississippi,15916
Stone,Mississippi,18336
Sunflower,Mississippi,25110
Tallahatchie,Mississippi,13809
Tate,Mississippi,28321
Tippah,Mississippi,22015
Tishomingo,Mississippi,19383
Tunica,Mississippi,9632
Union,Mississippi,28815
Walthall,Mississippi,14286
Warren,Mississippi,45381
Washington,Mississippi,43909
Wayne,Mississippi,20183
Webster,Mississippi,9689
Wilkinson,Mississippi,8630
